"ZIP code",Size of adjusted gross income,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI)
75041,"$50,000 under $75,000",1341,743,757,3495,1411,81210
75041,"$75,000 under $100,000",564,422,261,1473,489,48773
75041,"$100,000 under $200,000",443,383,217,1150,324,57230
75041,"$200,000 or more",52,43,36,129,34,18242
75042,,"16,060","5,263","9,439","38,399","17,786","515,358"
75042,"$1 under $25,000",8488,1533,5248,17704,8381,117109
75042,"$25,000 under $50,000",4770,1908,2783,13324,6656,168431
75042,"$50,000 under $75,000",1642,909,845,4319,1769,99272
75042,"$75,000 under $100,000",672,510,319,1780,599,57535
75042,"$100,000 under $200,000",439,364,209,1161,358,55140
75042,"$200,000 or more",49,39,35,111,23,17871
75043,,"26,823","9,183","13,541","56,601","21,904","1,197,334"
75043,"$1 under $25,000",10998,1442,5633,18570,7409,143527
75043,"$25,000 under $50,000",7781,2230,3896,17441,7461,280903
75043,"$50,000 under $75,000",3676,1915,1822,8706,3113,224756
75043,"$75,000 under $100,000",2052,1574,981,5495,1869,177573
75043,"$100,000 under $200,000",1995,1739,993,5538,1805,260075
75043,"$200,000 or more",321,283,216,851,247,110500
75044,,"19,998","7,674","9,537","40,063","13,693","1,197,142"
75044,"$1 under $25,000",7352,1060,3695,10760,3628,91388
75044,"$25,000 under $50,000",5059,1467,2384,10510,4002,184449
75044,"$50,000 under $75,000",2814,1321,1285,6143,2010,172494
75044,"$75,000 under $100,000",1644,1118,712,4038,1276,142240
75044,"$100,000 under $200,000",2388,2023,1027,6461,2052,327002
75044,"$200,000 or more",741,685,434,2151,725,279569
75048,,"9,614","4,771","4,119","21,480","7,811","666,078"
75048,"$1 under $25,000",2767,392,1118,3521,1069,33110
75048,"$25,000 under $50,000",1878,622,848,3968,1471,69890
75048,"$50,000 under $75,000",1415,736,638,3353,1203,88164
75048,"$75,000 under $100,000",1267,977,513,3597,1353,110088
75048,"$100,000 under $200,000",2003,1786,824,6154,2369,269762
75048,"$200,000 or more",284,258,178,887,346,95064
75050,,"18,214","5,374","10,258","39,695","16,817","719,559"
75050,"$1 under $25,000",8315,1159,4915,16089,7313,114047
75050,"$25,000 under $50,000",5718,1712,3155,13630,6211,203679
75050,"$50,000 under $75,000",2140,978,1152,4922,1806,130193
75050,"$75,000 under $100,000",1003,679,509,2407,725,86207
75050,"$100,000 under $200,000",879,715,420,2238,644,116422
75050,"$200,000 or more",159,131,107,409,118,69011
75051,,"15,402","4,408","9,307","36,180","16,939","465,974"
75051,"$1 under $25,000",8291,1184,5176,17009,8096,113536
75051,"$25,000 under $50,000",4745,1618,2774,12472,6115,166023
75051,"$50,000 under $75,000",1519,934,894,4348,1894,91633
75051,"$75,000 under $100,000",543,429,298,1534,562,46214
75051,"$100,000 under $200,000",277,223,144,744,245,34225
75051,"$200,000 or more",27,20,21,73,27,14343
75052,,"39,415","14,168","20,022","86,424","35,179","1,929,762"
75052,"$1 under $25,000",14605,1821,7647,23466,9357,187961
75052,"$25,000 under $50,000",10648,2847,5446,24189,10712,388528
75052,"$50,000 under $75,000",6058,3003,3065,15148,6089,371174
75052,"$75,000 under $100,000",3706,2666,1787,10318,3949,320127
75052,"$100,000 under $200,000",4030,3510,1839,12231,4689,521219
75052,"$200,000 or more",368,321,238,1072,383,140753
75054,,"4,115","2,120","1,936","9,906","3,873","347,552"
75054,"$1 under $25,000",870,92,381,1141,379,10188
75054,"$25,000 under $50,000",639,152,310,1322,532,23706
75054,"$50,000 under $75,000",613,240,310,1380,527,38546
75054,"$75,000 under $100,000",570,382,263,1568,617,49612
75054,"$100,000 under $200,000",1212,1059,546,3792,1521,164906
75054,"$200,000 or more",211,195,126,703,297,60594
75056,,"23,755","9,978","10,464","50,586","18,408","1,736,289"
75056,"$1 under $25,000",7107,806,3221,9741,3350,87135
75056,"$25,000 under $50,000",5821,1531,2439,11769,4446,213859
75056,"$50,000 under $75,000",3459,1604,1404,7673,2613,212828
75056,"$75,000 under $100,000",2316,1622,904,5946,2008,200408
75056,"$100,000 under $200,000",3731,3206,1707,11077,4140,511943
75056,"$200,000 or more",1321,1209,789,4380,1851,510116
75057,,"5,973","1,785","3,231","13,002","5,457","221,789"
75057,"$1 under $25,000",2768,473,1630,5600,2568,38494
75057,"$25,000 under $50,000",1923,581,973,4568,2066,68227
75057,"$50,000 under $75,000",671,306,301,1394,418,40248
75057,"$75,000 under $100,000",304,195,149,704,206,25882
75057,"$100,000 under $200,000",269,201,144,633,163,35277
75057,"$200,000 or more",38,29,34,103,36,13661
75058,,"1,223",651,623,"2,900","1,126","78,466"
75058,"$1 under $25,000",455,90,226,694,248,5455
75058,"$25,000 under $50,000",231,100,118,570,240,8245
75058,"$50,000 under $75,000",160,112,80,443,171,10054
75058,"$75,000 under $100,000",128,112,67,383,143,11219
75058,"$100,000 under $200,000",202,193,95,666,271,27081
75058,"$200,000 or more",47,44,37,144,53,16412
75060,,"20,135","6,877","12,104","46,752","20,715","715,599"
75060,"$1 under $25,000",9611,1564,5965,18750,8535,130324
75060,"$25,000 under $50,000",6083,2193,3662,15963,7702,214860
75060,"$50,000 under $75,000",2385,1447,1396,6337,2505,144931
75060,"$75,000 under $100,000",1150,882,621,3199,1167,99044
75060,"$100,000 under $200,000",839,737,423,2337,761,105368
75060,"$200,000 or more",67,54,37,166,45,21072
75061,,"22,948","6,578","14,198","53,808","25,104","774,652"
75061,"$1 under $25,000",12072,1715,7703,25417,12442,172174
75061,"$25,000 under $50,000",6914,2307,4280,18277,9067,241540
75061,"$50,000 under $75,000",2088,1110,1192,5335,2139,126289
75061,"$75,000 under $100,000",875,635,464,2253,742,75327
75061,"$100,000 under $200,000",892,729,481,2289,666,116636
75061,"$200,000 or more",107,82,78,237,48,42686
75062,,"21,650","6,484","11,751","45,400","18,199","1,019,610"
75062,"$1 under $25,000",10115,1415,5703,18167,7551,137041
75062,"$25,000 under $50,000",6374,1838,3397,14557,6360,227739
75062,"$50,000 under $75,000",2505,1244,1255,5769,2022,152198
75062,"$75,000 under $100,000",1143,786,553,2924,996,97878
75062,"$100,000 under $200,000",1176,935,593,3104,994,156328
75062,"$200,000 or more",337,266,250,879,276,248426
75063,,"17,778","7,018","7,992","35,587","11,468","1,542,083"
75063,"$1 under $25,000",4244,504,1942,5826,1721,53849
75063,"$25,000 under $50,000",4239,703,1630,6856,1944,156901
75063,"$50,000 under $75,000",2853,993,1266,5210,1369,175995
75063,"$75,000 under $100,000",1937,1174,857,4588,1477,167999
75063,"$100,000 under $200,000",3322,2604,1576,9420,3493,462534
75063,"$200,000 or more",1183,1040,721,3687,1464,524805
75065,,"5,084","2,145","2,473","10,618","3,706","295,468"
75065,"$1 under $25,000",1767,228,842,2520,841,21969
75065,"$25,000 under $50,000",1197,371,591,2484,918,43662
75065,"$50,000 under $75,000",732,387,336,1685,566,45214
75065,"$75,000 under $100,000",559,437,280,1524,528,48515
75065,"$100,000 under $200,000",695,598,330,2010,716,91385
75065,"$200,000 or more",134,124,94,395,137,44723
75067,,"30,486","9,503","13,956","61,353","22,900","1,359,594"
75067,"$1 under $25,000",12144,1546,6067,20135,7962,163451
75067,"$25,000 under $50,000",9239,2362,4081,19293,7712,333592
75067,"$50,000 under $75,000",4104,1790,1751,8713,2819,250334
75067,"$75,000 under $100,000",2272,1536,876,5644,1836,196007
75067,"$100,000 under $200,000",2437,2021,1007,6736,2277,317870
75067,"$200,000 or more",290,248,174,832,294,98340
75068,,"17,010","7,933","7,024","39,821","15,739","1,045,349"
75068,"$1 under $25,000",4837,642,1986,7508,2875,59433
75068,"$25,000 under $50,000",3877,1195,1684,8872,3813,144463
75068,"$50,000 under $75,000",3165,1742,1270,8072,3167,196110
75068,"$75,000 under $100,000",2278,1805,861,6701,2618,197684
75068,"$100,000 under $200,000",2549,2265,1031,7736,2922,332947
75068,"$200,000 or more",304,284,192,932,344,114712
75069,,"15,726","6,042","7,786","35,410","14,406","1,021,583"
75069,"$1 under $25,000",6961,1022,3466,13485,6251,93611
75069,"$25,000 under $50,000",3787,1325,1829,9234,4126,134052
75069,"$50,000 under $75,000",1619,871,745,3596,1114,99374
75069,"$75,000 under $100,000",964,711,440,2302,628,83388
75069,"$100,000 under $200,000",1609,1391,779,4331,1332,218418
75069,"$200,000 or more",786,722,527,2462,955,392740
75070,,"35,646","18,325","14,407","82,047","30,785","3,216,510"
75070,"$1 under $25,000",8664,962,3084,9778,2833,96026
75070,"$25,000 under $50,000",6001,1629,2279,11678,4070,224109
75070,"$50,000 under $75,000",5165,2519,2119,12257,4578,321137
75070,"$75,000 under $100,000",4780,3448,1893,13268,5042,416982
75070,"$100,000 under $200,000",8437,7385,3439,26505,10683,1148411
75070,"$200,000 or more",2599,2382,1593,8561,3579,1009845
75071,,"16,471","8,123","6,792","38,470","14,904","1,222,678"
75071,"$1 under $25,000",4743,611,1879,6750,2412,57685
75071,"$25,000 under $50,000",3283,1049,1342,7199,2877,121334
75071,"$50,000 under $75,000",2447,1331,969,5987,2209,152203
75071,"$75,000 under $100,000",2067,1603,795,6051,2381,180197
75071,"$100,000 under $200,000",3101,2768,1314,9768,3900,417142
75071,"$200,000 or more",830,761,493,2715,1125,294117
75074,,"20,325","7,571","9,754","46,225","19,378","1,059,868"
75074,"$1 under $25,000",8562,1310,4353,16414,7554,114624
75074,"$25,000 under $50,000",5212,1823,2654,13105,6098,186936
75074,"$50,000 under $75,000",2503,1207,1101,5729,2027,153069
75074,"$75,000 under $100,000",1548,1075,623,3846,1224,134320
75074,"$100,000 under $200,000",2100,1794,804,5948,2054,281591
75074,"$200,000 or more",400,362,219,1183,421,189328
75075,,"16,530","7,129","7,005","32,908","10,309","1,066,306"
75075,"$1 under $25,000",5539,836,2209,7839,2500,66042
75075,"$25,000 under $50,000",3479,1063,1525,6887,2364,127464
75075,"$50,000 under $75,000",2245,1059,1009,4573,1275,138760
75075,"$75,000 under $100,000",1775,1206,731,4240,1258,153945
75075,"$100,000 under $200,000",2907,2463,1207,7781,2411,392220
75075,"$200,000 or more",585,502,324,1588,501,187875
75076,,"3,398","1,601","1,914","6,567","1,725","205,933"
75076,"$1 under $25,000",1336,303,710,1991,509,16180
75076,"$25,000 under $50,000",795,328,423,1555,432,28514
75076,"$50,000 under $75,000",496,329,282,1107,282,30488
75076,"$75,000 under $100,000",323,247,186,752,182,27722
75076,"$100,000 under $200,000",356,316,241,930,258,46287
75076,"$200,000 or more",92,78,72,232,62,56742
75077,,"16,846","8,585","7,334","35,945","12,097","1,506,565"
75077,"$1 under $25,000",4747,501,1720,4853,1174,51558
75077,"$25,000 under $50,000",2781,765,1185,5201,1665,103351
75077,"$50,000 under $75,000",2172,1129,1004,4854,1554,135063
75077,"$75,000 under $100,000",1956,1481,836,5127,1690,170574
75077,"$100,000 under $200,000",3845,3449,1723,11597,4305,530302
75077,"$200,000 or more",1345,1260,866,4313,1709,515717
75078,,"5,470","3,280","2,639","14,072","5,764","683,032"
75078,"$1 under $25,000",1274,122,520,1458,501,13546
75078,"$25,000 under $50,000",740,224,350,1516,554,27014
75078,"$50,000 under $75,000",520,297,239,1309,492,32105
75078,"$75,000 under $100,000",558,432,279,1592,603,48678
75078,"$100,000 under $200,000",1510,1389,692,5114,2215,215756
75078,"$200,000 or more",868,816,559,3083,1399,345933
75080,,"20,333","7,887","9,113","40,891","13,765","1,372,523"
75080,"$1 under $25,000",6973,914,3076,10488,3673,85455
75080,"$25,000 under $50,000",4656,1335,2169,9646,3672,170322
75080,"$50,000 under $75,000",2957,1224,1248,5898,1721,181986
75080,"$75,000 under $100,000",1998,1269,806,4541,1274,173600
75080,"$100,000 under $200,000",2868,2362,1273,7740,2510,387739
75080,"$200,000 or more",881,783,541,2578,915,373421
75081,,"17,385","6,531","7,861","33,888","10,975","935,571"
75081,"$1 under $25,000",6382,1024,3108,9630,3218,79590
75081,"$25,000 under $50,000",4255,1196,1858,8393,2953,155800
75081,"$50,000 under $75,000",2636,1187,1119,5429,1605,162408
75081,"$75,000 under $100,000",1663,1105,677,3954,1187,143770
75081,"$100,000 under $200,000",2092,1716,899,5486,1676,276050
75081,"$200,000 or more",357,303,200,996,336,117953
75082,,"9,962","5,171","4,185","21,507","7,113","1,041,983"
75082,"$1 under $25,000",2449,330,962,2591,542,26480
75082,"$25,000 under $50,000",1600,445,642,2807,770,59928
75082,"$50,000 under $75,000",1244,539,544,2490,711,77386
75082,"$75,000 under $100,000",1097,708,441,2640,835,95776
75082,"$100,000 under $200,000",2478,2141,1027,7372,2750,348985
75082,"$200,000 or more",1094,1008,569,3607,1505,433428
75087,,"13,708","7,271","6,296","30,683","10,755","1,094,229"
75087,"$1 under $25,000",3735,529,1587,4399,1175,41577
75087,"$25,000 under $50,000",2353,759,1087,4708,1603,87869
75087,"$50,000 under $75,000",1927,1064,906,4591,1600,119799
75087,"$75,000 under $100,000",1835,1422,787,5057,1801,159572
75087,"$100,000 under $200,000",3199,2895,1507,9897,3806,431186
75087,"$200,000 or more",659,602,422,2031,770,254226
75088,,"11,690","5,244","5,244","24,359","8,383","759,652"
75088,"$1 under $25,000",3769,457,1555,4770,1490,44382
75088,"$25,000 under $50,000",2487,754,1085,5103,1872,92085
75088,"$50,000 under $75,000",1795,966,847,4196,1437,111249
75088,"$75,000 under $100,000",1351,1036,620,3642,1255,117229
75088,"$100,000 under $200,000",1909,1691,907,5519,1919,255695
75088,"$200,000 or more",379,340,230,1129,410,139012
75089,,"13,319","6,318","5,970","30,272","11,786","837,090"
75089,"$1 under $25,000",4110,520,1827,5233,1741,47052
75089,"$25,000 under $50,000",2611,823,1198,5730,2307,96947
75089,"$50,000 under $75,000",2054,1103,950,5112,1956,127748
75089,"$75,000 under $100,000",1773,1374,774,5284,2137,154409
75089,"$100,000 under $200,000",2483,2239,1068,7977,3256,327808
75089,"$200,000 or more",288,259,153,936,389,83126
75090,,"9,339","3,329","5,015","21,092","8,847","335,736"
75090,"$1 under $25,000",4983,863,2587,9716,4288,66612
75090,"$25,000 under $50,000",2426,963,1353,6190,2804,84694
75090,"$50,000 under $75,000",992,683,533,2585,912,60135
75090,"$75,000 under $100,000",449,379,249,1212,384,38631
75090,"$100,000 under $200,000",417,379,235,1175,379,53769
75090,"$200,000 or more",72,62,58,214,80,31895
75092,,"9,960","4,119","5,001","19,871","6,324","519,877"
75092,"$1 under $25,000",4048,624,1871,6022,1876,51336
75092,"$25,000 under $50,000",2503,896,1227,5017,1624,90254
75092,"$50,000 under $75,000",1410,875,728,3350,1065,87048
75092,"$75,000 under $100,000",855,698,455,2255,702,73910
75092,"$100,000 under $200,000",887,788,522,2390,715,116360
75092,"$200,000 or more",257,238,198,837,342,100969
75093,,"23,341","10,534","11,383","47,208","15,490","3,459,485"
75093,"$1 under $25,000",6036,528,2616,5762,1286,62815
75093,"$25,000 under $50,000",4244,864,1736,7000,1940,157279
75093,"$50,000 under $75,000",2854,949,1303,5256,1469,177253
75093,"$75,000 under $100,000",1985,1139,918,4459,1341,172547
75093,"$100,000 under $200,000",4239,3453,2136,11890,4198,604124
75093,"$200,000 or more",3983,3601,2674,12841,5256,2285467
75094,,"8,552","5,197","3,708","22,504","9,382","870,748"
75094,"$1 under $25,000",2040,314,826,2434,693,21991
75094,"$25,000 under $50,000",1091,428,525,2432,925,40117
75094,"$50,000 under $75,000",977,553,470,2597,1069,60950
75094,"$75,000 under $100,000",947,727,402,2864,1190,82891
75094,"$100,000 under $200,000",2637,2380,1044,9085,4068,368479
75094,"$200,000 or more",860,795,441,3092,1437,296320
75098,,"21,540","10,150","8,822","50,364","19,995","1,298,098"
75098,"$1 under $25,000",6758,970,2869,10170,3746,83459
75098,"$25,000 under $50,000",4789,1618,2066,11027,4636,177082
75098,"$50,000 under $75,000",3396,1943,1357,8835,3497,211276
75098,"$75,000 under $100,000",2801,2184,1023,8354,3368,243714
75098,"$100,000 under $200,000",3383,3056,1256,10693,4255,440101
75098,"$200,000 or more",413,379,251,1285,493,142466
75102,,591,287,368,"1,322",478,"25,997"
75102,"$1 under $25,000",254,75,150,457,159,3392
75102,"$25,000 under $50,000",161,66,107,365,141,5800
75102,"$50,000 under $75,000",86,68,54,248,94,5304
75102,"$75,000 under $100,000",50,41,30,141,50,4349
75102,"$100,000 under $200,000",40,37,27,111,34,7152
75102,"$200,000 or more",**,**,**,**,**,**
75103,,"5,316","2,623","3,290","11,335","3,683","257,000"
75103,"$1 under $25,000",2232,556,1292,3650,1146,27077
75103,"$25,000 under $50,000",1239,587,757,2674,850,44742
75103,"$50,000 under $75,000",782,553,496,2032,697,47943
75103,"$75,000 under $100,000",506,429,336,1392,457,43538
75103,"$100,000 under $200,000",462,412,327,1311,438,60734
75103,"$200,000 or more",95,86,82,276,95,32966
75104,,"21,106","6,614","10,397","44,202","17,671","1,088,126"
75104,"$1 under $25,000",7645,718,3663,12067,4875,98352
75104,"$25,000 under $50,000",5928,1243,2948,12770,5616,217050
75104,"$50,000 under $75,000",3279,1283,1628,7511,2951,200773
75104,"$75,000 under $100,000",1781,1253,848,4721,1687,154131
75104,"$100,000 under $200,000",2054,1742,1022,5893,2096,267055
75104,"$200,000 or more",419,375,288,1240,446,150765
75105,,144,71,91,308,102,"6,100"
75105,"$1 under $25,000",58,29,50,81,21,692
75105,"$25,000 under $50,000",37,**,**,96,41,1359
75105,"$50,000 under $75,000",49,42,41,131,40,4049
75105,"$75,000 under $100,000",**,**,**,**,**,**
75105,"$100,000 under $200,000",**,**,**,**,**,**
75105,"$200,000 or more",**,**,**,**,**,**
75109,,"1,603",848,943,"3,490","1,140","96,950"
75109,"$1 under $25,000",611,152,341,1010,345,7387
75109,"$25,000 under $50,000",362,160,214,794,275,13272
75109,"$50,000 under $75,000",246,188,155,640,206,15168
75109,"$75,000 under $100,000",168,149,99,482,165,14374
75109,"$100,000 under $200,000",167,152,102,443,124,22144
75109,"$200,000 or more",49,47,32,121,25,24605
75110,,"11,566","4,092","7,262","26,293","11,158","434,168"
75110,"$1 under $25,000",5861,976,3557,11099,4780,74780
75110,"$25,000 under $50,000",3240,1195,2075,8482,4051,113314
75110,"$50,000 under $75,000",1177,803,747,3162,1183,71938
75110,"$75,000 under $100,000",604,508,384,1675,563,52137
75110,"$100,000 under $200,000",549,492,386,1510,469,72465
75110,"$200,000 or more",135,118,113,365,112,49534
75114,,"2,221","1,031","1,201","5,075","1,956","124,327"
75114,"$1 under $25,000",750,117,389,1176,438,9237
75114,"$25,000 under $50,000",523,181,271,1222,521,18993
