Zipcode,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,NAME,Year
78726,422.0,12.0,0.0,67.0,0.0,85.0,586.0,109.0,477.0,ZCTA5 78726,2017
78728,1064.0,667.0,0.0,83.0,0.0,127.0,2077.0,953.0,1124.0,ZCTA5 78728,2017
78736,207.0,4.0,0.0,16.0,0.0,0.0,227.0,88.0,139.0,ZCTA5 78736,2017
78750,1626.0,245.0,0.0,353.0,0.0,68.0,2292.0,960.0,1332.0,ZCTA5 78750,2017
78753,6055.0,1675.0,14.0,556.0,15.0,415.0,12054.0,5741.0,6313.0,ZCTA5 78753,2017
78652,311.0,18.0,0.0,0.0,0.0,0.0,329.0,92.0,237.0,ZCTA5 78652,2017
78681,2325.0,265.0,0.0,305.0,0.0,75.0,2992.0,1095.0,1897.0,ZCTA5 78681,2017
78704,5772.0,558.0,136.0,199.0,24.0,146.0,6944.0,3206.0,3738.0,ZCTA5 78704,2017
78725,597.0,342.0,0.0,0.0,0.0,31.0,1354.0,656.0,698.0,ZCTA5 78725,2017
78739,396.0,0.0,0.0,34.0,0.0,17.0,447.0,199.0,248.0,ZCTA5 78739,2017
78742,83.0,30.0,0.0,0.0,0.0,0.0,113.0,50.0,63.0,ZCTA5 78742,2017
78744,9085.0,889.0,23.0,21.0,0.0,331.0,11870.0,5720.0,6150.0,ZCTA5 78744,2017
78748,4072.0,152.0,0.0,150.0,0.0,149.0,4722.0,2337.0,2385.0,ZCTA5 78748,2017
78756,369.0,66.0,0.0,6.0,0.0,0.0,493.0,242.0,251.0,ZCTA5 78756,2017
78731,1860.0,113.0,0.0,413.0,0.0,75.0,2550.0,892.0,1658.0,ZCTA5 78731,2017
78734,1089.0,42.0,0.0,22.0,0.0,50.0,1213.0,423.0,790.0,ZCTA5 78734,2017
78741,10487.0,2249.0,60.0,945.0,0.0,676.0,15978.0,8176.0,7802.0,ZCTA5 78741,2017
78746,1196.0,27.0,0.0,102.0,52.0,8.0,1415.0,687.0,728.0,ZCTA5 78746,2017
78754,1648.0,528.0,0.0,248.0,0.0,32.0,2741.0,753.0,1988.0,ZCTA5 78754,2017
78613,2276.0,77.0,6.0,246.0,0.0,200.0,2943.0,1354.0,1589.0,ZCTA5 78613,2017
