Zipcode,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,NAME,Year
78747,1015.0,0.0,0.0,0.0,0.0,32.0,1169.0,607.0,562.0,ZCTA5 78747,2016
78748,3942.0,189.0,0.0,98.0,0.0,262.0,4639.0,2422.0,2217.0,ZCTA5 78748,2016
78749,1568.0,54.0,0.0,136.0,0.0,51.0,1819.0,747.0,1072.0,ZCTA5 78749,2016
78750,1800.0,54.0,0.0,359.0,0.0,0.0,2213.0,1011.0,1202.0,ZCTA5 78750,2016
78751,2258.0,133.0,27.0,208.0,0.0,64.0,3097.0,1317.0,1780.0,ZCTA5 78751,2016
78752,4091.0,677.0,0.0,101.0,0.0,86.0,5808.0,2865.0,2943.0,ZCTA5 78752,2016
78753,7007.0,2056.0,79.0,467.0,16.0,522.0,13570.0,6582.0,6988.0,ZCTA5 78753,2016
78754,1896.0,518.0,0.0,156.0,0.0,39.0,2906.0,809.0,2097.0,ZCTA5 78754,2016
78756,598.0,86.0,0.0,45.0,0.0,0.0,862.0,503.0,359.0,ZCTA5 78756,2016
78757,2148.0,156.0,0.0,232.0,0.0,89.0,3568.0,1658.0,1910.0,ZCTA5 78757,2016
78758,5944.0,1080.0,35.0,356.0,0.0,264.0,10471.0,5083.0,5388.0,ZCTA5 78758,2016
78759,1671.0,194.0,0.0,333.0,0.0,73.0,2360.0,1209.0,1151.0,ZCTA5 78759,2016
